siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,totalN,Cl,SO4,Br,hplus,svol,ppt,fullChemLab,daysSample,startDate,lastDate
IL63,Annual,2017,8,8,100,0.107,0.028,0.015,0.192,0.331,0.620,0.398,0.347,0.767,-9,0.004,2385.0,6.147,2,360,"2017-01-03 00:00","2017-01-31 00:00"
IL78,Annual,1985,83,98,92,1.876,0.276,0.178,0.453,2.453,10.044,4.175,0.996,17.306,-9,0.231,53047.5,88.887,36,357,"1985-01-08 00:00","1985-12-31 00:00"
IL78,Annual,1986,96,100,98,2.030,0.240,0.157,0.498,2.943,11.033,4.779,0.812,17.888,-9,0.232,59076.6,92.253,40,364,"1985-12-31 00:00","1986-12-30 00:00"
IL78,Annual,1987,92,100,95,1.912,0.236,0.138,0.432,2.835,10.097,4.484,0.786,16.410,-9,0.220,39328.3,65.483,41,364,"1986-12-30 00:00","1987-12-29 00:00"
IL78,Annual,1988,96,100,94,2.498,0.249,0.139,0.438,2.199,8.688,3.672,0.707,14.949,-9,0.153,30701.1,49.762,33,371,"1987-12-29 00:00","1989-01-03 00:00"
IL78,Annual,1989,92,100,94,1.768,0.200,0.159,0.435,4.151,10.242,5.539,0.739,15.125,-9,0.153,36297.1,69.063,36,364,"1989-01-03 00:00","1990-01-02 00:00"
IL78,Annual,1990,92,100,96,2.368,0.280,0.177,0.686,4.830,13.702,6.848,1.423,20.059,-9,0.250,59233.5,103.880,45,364,"1990-01-02 00:00","1991-01-01 00:00"
IL78,Annual,1991,83,100,94,2.702,0.306,0.218,0.669,3.694,11.066,5.370,1.000,15.687,-9,0.158,49134.7,80.653,36,364,"1991-01-01 00:00","1991-12-31 00:00"
IL78,Annual,1992,92,100,99,1.960,0.209,0.184,0.559,3.712,11.586,5.501,0.918,16.482,-9,0.206,55216.7,83.411,41,364,"1991-12-31 00:00","1992-12-29 00:00"
IL78,Annual,1993,98,100,99,2.150,0.286,0.186,0.845,5.344,17.596,8.127,1.355,23.971,-9,0.349,79983.8,124.268,45,371,"1992-12-29 00:00","1994-01-04 00:00"
IL78,Annual,1994,94,100,99,2.077,0.239,0.123,0.266,3.061,9.320,4.484,0.533,11.541,-9,0.134,45187.7,68.331,40,364,"1994-01-04 00:00","1995-01-03 00:00"
IL78,Annual,1995,83,100,90,2.374,0.279,0.198,0.648,4.605,13.778,6.690,0.944,16.188,-9,0.189,55065.3,89.934,33,364,"1995-01-03 00:00","1996-01-02 00:00"
IL78,Annual,1996,88,100,95,1.955,0.233,0.200,0.758,3.412,9.490,4.795,1.031,10.408,-9,0.066,41711.5,66.506,36,364,"1996-01-02 00:00","1996-12-31 00:00"
IL78,Annual,1997,88,100,97,2.151,0.223,0.116,0.306,3.549,11.318,5.314,0.612,12.550,-9,0.154,49039.1,82.731,38,364,"1996-12-31 00:00","1997-12-30 00:00"
IL78,Annual,1998,92,100,95,2.363,0.318,0.193,0.534,5.749,15.691,8.012,1.045,20.144,-9,0.222,72220.7,113.618,39,364,"1997-12-30 00:00","1998-12-29 00:00"
IL78,Annual,1999,98,100,100,2.357,0.244,0.157,0.369,3.755,12.098,5.651,0.683,13.725,-9,0.150,50462.1,78.561,38,364,"1998-12-29 00:00","1999-12-28 00:00"
IL78,Annual,2000,89,100,96,2.474,0.265,0.172,0.538,3.254,10.629,4.930,0.788,10.559,-9,0.084,48455.1,78.043,40,371,"1999-12-28 00:00","2001-01-02 00:00"
IL78,Annual,2001,98,100,99,3.177,0.341,0.180,0.654,4.599,14.102,6.759,0.901,15.107,-9,0.120,61050.8,94.832,42,365,"2001-01-02 00:00","2002-01-02 00:00"
IL78,Annual,2002,94,100,98,2.427,0.237,0.138,0.467,3.246,9.808,4.738,0.681,9.241,-9,0.065,47702.8,76.562,36,363,"2002-01-02 00:00","2002-12-31 00:00"
IL78,Annual,2003,90,100,96,2.355,0.256,0.213,0.435,4.155,9.453,5.364,0.759,12.772,-9,0.107,53782.5,85.314,33,364,"2002-12-31 00:00","2003-12-30 00:00"
IL78,Annual,2004,94,100,93,1.723,0.174,0.141,0.422,3.462,8.192,4.541,0.704,9.633,-9,0.081,51512.3,82.831,37,364,"2003-12-30 00:00","2004-12-28 00:00"
IL78,Annual,2005,96,100,99,2.071,0.209,0.128,0.337,3.299,8.582,4.502,0.567,10.039,-9,0.081,43203.5,67.469,42,371,"2004-12-28 00:00","2006-01-03 00:00"
IL78,Annual,2006,92,100,97,1.857,0.194,0.162,0.414,3.242,7.493,4.211,0.654,9.233,-9,0.063,42114.1,64.705,39,364,"2006-01-03 00:00","2007-01-02 00:00"
IL78,Annual,2007,86,100,93,3.320,0.321,0.199,0.616,5.141,11.244,6.535,0.945,11.713,-9,0.046,52565.5,86.696,35,365,"2007-01-02 00:00","2008-01-02 00:00"
IL78,Annual,2008,87,100,93,2.176,0.255,0.318,0.658,4.436,8.873,5.451,1.008,11.229,-9,0.068,64909.3,106.131,38,363,"2008-01-02 00:00","2008-12-30 00:00"
IL78,Annual,2009,92,100,96,3.363,0.361,0.212,0.685,5.979,10.525,7.023,1.096,12.169,-9,0.042,76418.7,124.554,44,371,"2008-12-30 00:00","2010-01-05 00:00"
IL78,Annual,2010,96,100,100,3.186,0.327,0.194,0.581,5.124,11.145,6.499,0.909,12.320,-9,0.070,78370.3,121.144,42,358,"2010-01-05 00:00","2010-12-29 00:00"
IL78,Annual,2011,87,100,96,3.202,0.381,0.273,0.664,5.017,10.376,6.242,1.015,10.337,-9,0.048,57210.7,97.612,40,370,"2010-12-29 00:00","2012-01-03 00:00"
IL78,Annual,2012,79,100,88,4.216,0.358,0.297,0.457,4.642,8.706,5.573,0.692,7.701,-9,0.014,42161.3,76.098,31,365,"2012-01-03 00:00","2013-01-02 00:00"
IL78,Annual,2013,85,100,91,2.317,0.263,0.395,0.465,4.370,7.389,5.065,0.737,7.521,-9,0.027,49911.5,87.757,35,362,"2013-01-02 00:00","2013-12-30 00:00"
IL78,Annual,2014,90,100,99,3.291,0.323,0.302,0.729,5.051,8.654,5.879,1.073,7.686,-9,0.023,65554.6,104.140,41,365,"2013-12-30 00:00","2014-12-30 00:00"
IL78,Annual,2015,92,100,90,3.614,0.446,0.480,0.580,5.443,7.606,5.947,0.859,6.491,-9,0.021,59397.1,111.531,39,365,"2014-12-30 00:00","2015-12-30 00:00"
IL78,Annual,2016,83,100,87,2.947,0.282,0.207,0.527,4.548,8.145,5.374,0.857,6.346,-9,0.022,52597.7,94.158,33,370,"2015-12-30 00:00","2017-01-03 00:00"
IL78,Annual,2017,92,100,92,3.553,0.347,0.413,0.413,5.949,7.973,6.424,0.653,5.280,-9,0.010,48823.8,82.626,33,364,"2017-01-03 00:00","2018-01-02 00:00"
IL78,Annual,2018,84,100,93,2.530,0.246,0.182,0.355,3.913,6.371,4.480,0.592,4.059,-9,0.018,53800.7,91.008,34,365,"2018-01-02 00:00","2019-01-02 00:00"
IL78,Annual,2019,93,100,99,3.347,0.343,0.196,0.650,5.615,10.016,6.625,1.018,6.166,-9,0.024,77128.2,122.591,41,363,"2019-01-02 00:00","2019-12-31 00:00"
IL99,Annual,1989,25,27,99,0.244,0.027,0.025,0.078,0.380,1.722,0.685,0.129,1.948,-9,0.030,6008.1,9.437,10,98,"1989-09-26 00:00","1990-01-02 00:00"
IL99,Annual,1990,79,100,88,1.748,0.248,0.248,0.783,3.327,13.554,5.647,1.683,23.169,-9,0.411,75209.5,130.456,35,365,"1990-01-02 00:00","1991-01-02 00:00"
IL99,Annual,1991,77,100,83,1.087,0.145,0.145,0.580,1.836,9.881,3.659,1.127,16.081,-9,0.308,45445.6,80.526,36,363,"1991-01-02 00:00","1991-12-31 00:00"
IL99,Annual,1992,88,100,92,0.983,0.124,0.124,0.488,2.173,10.272,4.009,0.959,16.354,-9,0.316,52121.8,82.639,38,364,"1991-12-31 00:00","1992-12-29 00:00"
IL99,Annual,1993,68,74,95,1.518,0.234,0.245,0.876,2.873,15.557,5.747,1.530,24.107,-9,0.479,63931.1,116.798,34,370,"1992-12-29 00:00","1993-09-28 00:00"
IN20,Annual,1983,25,37,75,0.551,0.109,0.165,0.269,0.953,5.163,1.907,0.567,9.012,-9,0.151,13822.2,40.213,11,134,"1983-08-22 00:00","1984-01-03 00:00"
IN20,Annual,1984,87,100,95,2.288,0.541,0.515,0.856,3.737,16.172,6.557,1.572,26.145,-9,0.397,48254.9,87.324,41,365,"1984-01-03 00:00","1985-01-02 00:00"
IN20,Annual,1985,67,100,57,2.847,0.712,0.331,2.174,3.890,18.825,7.275,3.120,24.752,-9,0.378,32084.7,97.486,28,363,"1985-01-02 00:00","1985-12-31 00:00"
IN20,Annual,1986,81,100,75,2.483,0.491,0.245,0.529,3.937,17.371,6.983,1.142,30.645,-9,0.456,47415.8,94.410,37,364,"1985-12-31 00:00","1986-12-30 00:00"
IN20,Annual,1987,96,100,100,1.748,0.355,0.186,0.532,3.538,15.480,6.246,1.208,24.930,-9,0.417,55372.4,84.450,48,364,"1986-12-30 00:00","1987-12-29 00:00"
IN20,Annual,1988,87,100,97,1.696,0.292,0.139,0.639,2.648,12.356,4.849,1.063,22.190,-9,0.350,40683.4,69.495,39,371,"1987-12-29 00:00","1989-01-03 00:00"
IN20,Annual,1989,90,100,81,1.854,0.379,0.193,0.459,3.789,16.405,6.650,1.024,24.466,-9,0.399,45694.7,80.613,41,364,"1989-01-03 00:00","1990-01-02 00:00"
IN20,Annual,1990,100,100,100,2.265,0.340,0.170,0.566,4.088,16.160,6.827,1.291,27.246,-9,0.468,78725.1,113.243,50,364,"1990-01-02 00:00","1991-01-01 00:00"
IN20,Annual,1991,88,100,94,1.472,0.274,0.169,0.579,3.210,13.715,5.592,1.239,19.781,-9,0.352,50953.8,80.442,43,364,"1991-01-01 00:00","1991-12-31 00:00"
IN20,Annual,1992,98,100,98,1.611,0.296,0.143,0.561,3.405,15.219,6.083,1.009,23.078,-9,0.411,66528.7,101.933,45,364,"1991-12-31 00:00","1992-12-29 00:00"
IN20,Annual,1993,89,100,90,1.548,0.292,0.152,0.693,3.475,17.973,6.761,1.278,25.270,-9,0.494,56184.7,108.271,44,371,"1992-12-29 00:00","1994-01-04 00:00"
IN20,Annual,1994,77,100,82,1.709,0.330,0.138,0.475,3.549,14.701,6.078,0.981,18.740,-9,0.323,39957.6,76.645,34,364,"1994-01-04 00:00","1995-01-03 00:00"
IN20,Annual,1995,98,100,98,1.968,0.423,0.299,0.554,4.031,15.685,6.675,1.028,19.308,-9,0.295,49144.7,72.886,45,364,"1995-01-03 00:00","1996-01-02 00:00"
IN20,Annual,1996,96,100,100,1.826,0.304,0.137,0.825,3.751,16.211,6.577,1.296,18.499,-9,0.331,64415.1,98.190,46,364,"1996-01-02 00:00","1996-12-31 00:00"
IN20,Annual,1997,98,100,99,2.081,0.361,0.170,0.488,4.204,17.463,7.211,0.966,23.429,-9,0.385,70800.3,106.158,47,364,"1996-12-31 00:00","1997-12-30 00:00"
IN20,Annual,1998,94,100,99,2.060,0.362,0.249,0.691,4.438,17.965,7.506,1.336,24.667,-9,0.413,76603.3,113.203,42,364,"1997-12-30 00:00","1998-12-29 00:00"
IN20,Annual,1999,92,100,97,1.916,0.302,0.151,0.397,3.474,16.941,6.526,0.938,18.856,-9,0.325,48621.0,79.496,42,364,"1998-12-29 00:00","1999-12-28 00:00"
IN20,Annual,2000,91,100,94,2.346,0.334,0.216,0.560,4.261,16.356,7.005,1.031,19.095,-9,0.256,62533.3,98.173,45,371,"1999-12-28 00:00","2001-01-02 00:00"
IN20,Annual,2001,83,100,87,1.812,0.292,0.375,0.521,4.050,14.264,6.369,0.937,16.638,-9,0.241,60789.1,104.120,35,364,"2001-01-02 00:00","2002-01-01 00:00"
IN20,Annual,2002,92,100,98,1.820,0.309,0.171,0.585,3.753,12.282,5.691,1.048,14.638,-9,0.169,51500.3,81.232,44,364,"2002-01-01 00:00","2002-12-31 00:00"
IN20,Annual,2003,90,100,96,2.970,0.391,0.270,0.567,5.953,19.275,8.979,1.228,23.945,-9,0.291,85370.7,134.978,44,364,"2002-12-31 00:00","2003-12-30 00:00"
IN20,Annual,2004,98,100,96,2.351,0.361,0.251,0.700,4.865,15.109,7.193,1.279,19.646,-9,0.241,68745.5,109.328,41,364,"2003-12-30 00:00","2004-12-28 00:00"
IN20,Annual,2005,94,100,99,1.540,0.270,0.148,0.391,3.697,13.178,5.849,0.861,14.491,-9,0.219,54461.8,86.982,47,371,"2004-12-28 00:00","2006-01-03 00:00"
IN20,Annual,2006,98,100,100,2.587,0.405,0.495,0.619,5.411,15.165,7.630,1.170,19.068,-9,0.209,74510.2,112.497,46,364,"2006-01-03 00:00","2007-01-02 00:00"
IN20,Annual,2007,92,100,95,1.716,0.312,0.156,0.501,4.201,12.893,6.177,0.969,16.247,-9,0.232,68471.9,111.434,40,364,"2007-01-02 00:00","2008-01-01 00:00"
IN20,Annual,2008,94,100,99,2.427,0.380,0.222,0.622,3.935,11.964,5.760,1.097,14.296,-9,0.151,66742.5,105.503,43,364,"2008-01-01 00:00","2008-12-30 00:00"
IN20,Annual,2009,94,100,93,1.843,0.324,0.243,0.587,4.112,10.159,5.490,1.023,12.650,-9,0.121,59388.5,101.282,44,364,"2008-12-30 00:00","2009-12-29 00:00"
IN20,Annual,2010,94,100,96,1.720,0.279,0.288,0.445,3.310,9.475,4.712,0.812,9.876,-9,0.103,55490.5,87.325,44,364,"2009-12-29 00:00","2010-12-28 00:00"
IN20,Annual,2011,84,100,88,2.731,0.422,0.277,0.765,5.832,12.838,7.431,1.201,14.144,-9,0.109,75505.2,131.940,41,371,"2010-12-28 00:00","2012-01-03 00:00"
IN20,Annual,2012,92,100,95,1.939,0.283,0.157,0.433,4.049,8.486,5.063,0.686,7.487,-9,0.035,46507.3,74.571,42,363,"2012-01-03 00:00","2012-12-31 00:00"
IN20,Annual,2013,81,100,78,2.204,0.345,0.412,0.601,4.999,9.775,6.092,1.035,9.396,-9,0.046,58328.9,111.328,36,365,"2012-12-31 00:00","2013-12-31 00:00"
IN20,Annual,2014,82,100,94,1.909,0.286,0.235,0.510,4.103,8.736,5.161,0.827,8.726,-9,0.058,65659.4,102.059,39,364,"2013-12-31 00:00","2014-12-30 00:00"
IN20,Annual,2015,87,100,97,1.582,0.268,0.280,0.487,5.099,8.276,5.832,0.913,7.120,-9,0.037,70601.8,121.704,42,364,"2014-12-30 00:00","2015-12-29 00:00"
IN20,Annual,2016,91,100,98,2.242,0.381,0.437,0.484,5.572,10.343,6.666,0.865,6.604,-9,0.022,63021.0,93.015,42,370,"2015-12-29 00:00","2017-01-02 00:00"
IN20,Annual,2017,85,100,78,3.020,0.403,0.289,0.793,6.091,11.012,7.221,1.246,7.979,-9,0.028,68252.9,125.854,36,364,"2017-01-02 00:00","2018-01-01 00:00"
IN20,Annual,2018,82,96,93,2.569,0.412,0.436,0.715,5.333,9.817,6.361,1.212,6.351,-9,0.031,77167.9,121.197,40,365,"2018-01-01 00:00","2019-01-01 00:00"
IN20,Annual,2019,82,100,89,2.320,0.390,0.314,0.477,5.994,10.677,7.070,0.835,6.287,-9,0.027,66505.3,108.398,42,364,"2019-01-01 00:00","2019-12-30 00:00"
IN22,Annual,1984,21,27,78,0.359,0.099,0.072,0.435,0.637,3.129,1.201,0.789,7.621,-9,0.140,23100.8,44.830,11,98,"1984-09-25 00:00","1985-01-01 00:00"
IN22,Annual,1985,64,100,70,1.773,0.368,0.315,1.208,2.272,12.922,4.684,3.335,32.672,-9,0.639,58219.4,131.317,29,364,"1985-01-01 00:00","1985-12-31 00:00"
IN22,Annual,1986,75,100,83,2.097,0.323,0.933,1.590,1.993,12.581,4.391,2.961,30.186,-9,0.474,63721.9,115.213,31,364,"1985-12-31 00:00","1986-12-30 00:00"
IN22,Annual,1987,69,100,58,2.188,0.330,0.241,0.768,2.554,13.628,5.063,1.777,29.114,-9,0.498,32097.6,89.308,29,364,"1986-12-30 00:00","1987-12-29 00:00"
IN22,Annual,1988,93,100,97,1.496,0.217,0.165,0.687,1.861,10.732,3.871,1.418,24.969,-9,0.429,57306.8,86.971,38,371,"1987-12-29 00:00","1989-01-03 00:00"
IN22,Annual,1989,94,100,96,2.397,0.310,0.242,0.795,4.256,16.863,7.116,1.913,37.699,-9,0.629,86138.3,134.686,42,364,"1989-01-03 00:00","1990-01-02 00:00"
IN22,Annual,1990,90,100,90,2.369,0.329,0.370,0.959,3.862,15.091,6.410,2.438,31.579,-9,0.538,81253.0,136.943,44,364,"1990-01-02 00:00","1991-01-01 00:00"
IN22,Annual,1991,85,100,79,2.068,0.320,0.399,1.225,2.459,12.979,4.843,2.512,26.242,-9,0.446,36260.5,88.774,37,364,"1991-01-01 00:00","1991-12-31 00:00"
IN22,Annual,1992,90,100,93,2.280,0.302,0.399,0.665,2.572,12.719,4.872,1.659,23.655,-9,0.385,50787.2,88.697,39,364,"1991-12-31 00:00","1992-12-29 00:00"
IN22,Annual,1993,91,100,89,2.320,0.363,0.493,1.348,3.681,18.186,6.968,2.618,31.096,-9,0.567,74077.4,129.619,44,371,"1992-12-29 00:00","1994-01-04 00:00"
IN22,Annual,1994,79,100,87,1.998,0.239,0.212,0.645,3.426,13.593,5.732,1.326,25.961,-9,0.451,55031.2,92.092,34,364,"1994-01-04 00:00","1995-01-03 00:00"
IN22,Annual,1995,85,100,82,1.994,0.247,0.770,0.799,3.484,11.745,5.360,1.441,19.769,-9,0.297,54475.7,98.697,36,364,"1995-01-03 00:00","1996-01-02 00:00"
IN22,Annual,1996,92,100,96,2.387,0.339,0.566,1.199,4.243,17.310,7.207,2.138,24.437,-9,0.394,73940.7,113.135,44,364,"1996-01-02 00:00","1996-12-31 00:00"
IN22,Annual,1997,96,98,93,1.842,0.281,0.291,0.593,3.445,14.767,6.012,1.207,23.415,-9,0.410,65319.1,104.065,46,364,"1996-12-31 00:00","1997-12-30 00:00"
IN22,Annual,1998,90,100,95,2.425,0.339,0.497,0.885,4.910,16.802,7.611,2.279,29.507,-9,0.452,77974.8,121.229,41,364,"1997-12-30 00:00","1998-12-29 00:00"
IN22,Annual,1999,87,100,81,2.178,0.297,0.275,0.847,3.531,15.047,6.143,1.650,23.121,-9,0.383,59694.1,109.995,36,364,"1998-12-29 00:00","1999-12-28 00:00"
IN22,Annual,2000,83,100,97,2.538,0.314,0.445,1.007,3.702,15.488,6.375,1.727,21.505,-9,0.326,84148.2,130.810,37,371,"1999-12-28 00:00","2001-01-02 00:00"
IN22,Annual,2001,90,100,96,1.701,0.244,0.520,0.611,2.669,11.277,4.621,1.345,17.083,-9,0.261,66466.3,101.869,37,364,"2001-01-02 00:00","2002-01-01 00:00"
IN22,Annual,2002,79,100,75,2.206,0.299,0.449,1.084,4.037,13.445,6.174,1.844,21.844,-9,0.268,61312.1,124.610,33,364,"2002-01-01 00:00","2002-12-31 00:00"
IN22,Annual,2003,62,100,57,2.988,0.387,0.443,0.761,5.603,19.934,8.856,1.923,31.222,-9,0.458,39258.2,138.336,30,364,"2002-12-31 00:00","2003-12-30 00:00"
IN22,Annual,2004,92,100,89,2.056,0.294,0.252,0.979,4.251,14.738,6.632,2.279,28.204,-9,0.475,71458.6,139.832,37,364,"2003-12-30 00:00","2004-12-28 00:00"
IN22,Annual,2005,94,100,99,2.314,0.321,0.376,0.627,4.475,14.009,6.641,1.478,24.241,-9,0.345,79281.7,139.396,42,371,"2004-12-28 00:00","2006-01-03 00:00"
IN22,Annual,2006,90,100,93,3.300,0.429,0.326,1.273,4.928,14.755,7.163,2.250,24.612,-9,0.331,81603.9,147.997,41,364,"2006-01-03 00:00","2007-01-02 00:00"
IN22,Annual,2007,83,100,92,2.513,0.324,0.290,0.892,4.529,12.474,6.337,1.656,21.740,-9,0.288,62107.0,115.825,37,365,"2007-01-02 00:00","2008-01-02 00:00"
IN22,Annual,2008,90,100,93,4.285,0.555,0.647,1.434,5.395,15.754,7.751,2.328,23.677,-9,0.232,77992.3,154.146,42,363,"2008-01-02 00:00","2008-12-30 00:00"
IN22,Annual,2009,85,100,93,2.637,0.332,0.543,0.949,5.892,11.046,7.074,1.612,17.255,-9,0.146,87545.4,150.699,41,364,"2008-12-30 00:00","2009-12-29 00:00"
IN22,Annual,2010,94,100,99,2.361,0.363,0.363,0.595,3.531,9.483,4.886,1.009,12.650,-9,0.118,67375.9,100.881,39,364,"2009-12-29 00:00","2010-12-28 00:00"
IN22,Annual,2011,96,100,98,3.718,0.504,0.804,1.465,5.861,14.779,7.893,2.285,18.245,-9,0.158,100256.2,157.558,46,371,"2010-12-28 00:00","2012-01-03 00:00"
IN22,Annual,2012,79,100,86,2.283,0.405,0.740,0.626,4.063,9.131,5.220,1.058,11.943,-9,0.086,50329.3,88.141,35,364,"2012-01-03 00:00","2013-01-01 00:00"
IN22,Annual,2013,81,100,75,2.918,0.358,0.544,0.772,6.651,11.199,7.698,1.230,14.260,-9,0.080,72042.7,143.028,35,364,"2013-01-01 00:00","2013-12-31 00:00"
IN22,Annual,2014,83,100,93,2.330,0.267,0.255,0.742,4.011,9.216,5.198,1.252,12.277,-9,0.117,71543.3,115.926,38,364,"2013-12-31 00:00","2014-12-30 00:00"
IN22,Annual,2015,93,99,99,1.571,0.243,0.319,0.792,4.126,7.869,4.983,1.418,9.682,-9,0.098,83873.5,127.737,44,368,"2014-12-30 00:00","2015-12-29 00:00"
IN22,Annual,2016,91,100,94,2.421,0.298,0.321,0.688,4.647,8.949,5.632,1.182,8.593,-9,0.066,72470.0,114.732,40,371,"2015-12-29 00:00","2017-01-03 00:00"
IN22,Annual,2017,92,100,95,2.856,0.351,0.556,0.799,4.279,7.446,5.007,1.296,7.895,-9,0.033,61716.4,97.465,35,364,"2017-01-03 00:00","2018-01-02 00:00"
IN22,Annual,2018,85,100,93,2.107,0.245,0.272,0.666,4.636,8.797,5.590,1.101,7.342,-9,0.071,84070.1,135.967,39,365,"2018-01-02 00:00","2019-01-02 00:00"
IN22,Annual,2019,91,100,88,2.852,0.355,0.848,1.064,5.920,10.822,7.044,1.727,9.681,-9,0.075,89398.3,154.157,43,363,"2019-01-02 00:00","2019-12-30 00:00"
IN34,Annual,1980,44,44,100,2.907,0.525,0.187,0.525,2.303,12.728,4.665,1.341,21.786,-9,0.351,26336.2,51.995,21,168,"1980-07-15 00:00","1980-12-30 00:00"
IN34,Annual,1981,92,95,99,6.246,1.412,0.380,1.227,5.855,23.625,9.886,2.672,44.014,-9,0.507,67141.7,108.622,43,364,"1980-12-30 00:00","1981-12-29 00:00"
IN34,Annual,1982,96,98,100,3.507,0.793,0.261,0.945,4.191,17.969,7.316,1.965,32.192,-9,0.479,60957.5,108.574,44,371,"1981-12-29 00:00","1983-01-04 00:00"
IN34,Annual,1983,96,100,96,4.142,0.771,0.347,0.771,3.997,17.463,7.051,1.503,28.685,-9,0.383,56164.6,96.323,46,364,"1983-01-04 00:00","1984-01-03 00:00"
IN34,Annual,1984,96,100,93,3.156,0.647,0.307,0.769,3.309,14.435,5.832,1.861,25.908,-9,0.384,46367.9,80.911,45,365,"1984-01-03 00:00","1985-01-02 00:00"
IN34,Annual,1985,92,100,98,3.001,0.600,0.221,0.600,3.160,14.378,5.703,1.395,24.793,-9,0.349,54668.3,88.263,44,363,"1985-01-02 00:00","1985-12-31 00:00"
IN34,Annual,1986,90,100,94,2.800,0.522,0.238,0.677,2.635,13.138,5.015,1.336,25.417,-9,0.354,56690.0,91.493,42,364,"1985-12-31 00:00","1986-12-30 00:00"
IN34,Annual,1987,96,100,99,2.870,0.548,0.174,0.475,3.701,16.331,6.565,1.599,29.107,-9,0.445,55312.4,91.389,47,364,"1986-12-30 00:00","1987-12-29 00:00"
IN34,Annual,1988,79,100,89,2.981,0.547,0.160,0.632,3.368,14.819,5.964,1.707,27.487,-9,0.364,52692.1,94.328,33,371,"1987-12-29 00:00","1989-01-03 00:00"
IN34,Annual,1989,98,100,98,3.897,0.726,0.194,0.681,3.576,14.153,5.975,2.087,25.822,-9,0.314,42779.6,74.802,48,364,"1989-01-03 00:00","1990-01-02 00:00"
IN34,Annual,1990,94,100,95,3.748,0.699,0.196,0.615,4.866,18.711,8.008,2.098,34.429,-9,0.502,66287.3,139.840,46,363,"1990-01-02 00:00","1990-12-31 00:00"
IN34,Annual,1991,94,100,99,4.492,0.806,0.236,0.747,4.315,17.940,7.406,1.642,28.134,-9,0.357,61663.9,98.301,41,365,"1990-12-31 00:00","1991-12-31 00:00"
IN34,Annual,1992,96,100,98,4.912,0.924,0.235,0.541,3.737,15.168,6.330,1.410,25.118,-9,0.235,44950.7,78.346,44,364,"1991-12-31 00:00","1992-12-29 00:00"
IN34,Annual,1993,94,100,92,3.821,0.764,0.296,0.826,4.782,20.115,8.260,1.726,33.710,-9,0.458,68291.0,123.255,45,371,"1992-12-29 00:00","1994-01-04 00:00"
IN34,Annual,1994,98,100,100,3.531,0.579,0.168,0.537,3.699,14.652,6.184,1.199,19.450,-9,0.239,52732.7,83.872,42,364,"1994-01-04 00:00","1995-01-03 00:00"
IN34,Annual,1995,90,94,99,4.224,0.766,0.219,0.724,4.435,17.393,7.375,1.515,22.686,-9,0.249,50436.3,84.148,43,371,"1995-01-03 00:00","1996-01-09 00:00"
IN34,Annual,1996,90,100,99,3.529,0.609,0.271,1.172,5.400,18.669,8.413,1.849,25.602,-9,0.320,70102.9,112.736,41,357,"1996-01-09 00:00","1996-12-31 00:00"
IN34,Annual,1997,90,98,99,3.048,0.478,0.189,0.523,3.517,16.603,6.484,1.172,20.373,-9,0.293,50009.6,90.185,44,364,"1996-12-31 00:00","1997-12-30 00:00"
IN34,Annual,1998,88,98,89,3.250,0.656,0.313,0.597,4.248,16.747,7.084,1.390,23.560,-9,0.296,53367.0,97.881,44,364,"1997-12-30 00:00","1998-12-29 00:00"
IN34,Annual,1999,81,100,81,2.636,0.485,0.172,0.508,3.055,13.107,5.334,1.031,17.626,-9,0.230,40279.0,74.685,33,364,"1998-12-29 00:00","1999-12-28 00:00"
IN34,Annual,2000,96,100,100,2.708,0.468,0.263,0.565,3.224,13.772,5.616,1.052,16.159,-9,0.187,60252.9,97.400,48,372,"1999-12-28 00:00","2001-01-03 00:00"
IN34,Annual,2001,94,100,98,2.565,0.395,0.167,0.509,3.663,13.676,5.935,1.001,17.865,-9,0.210,53011.3,87.834,41,364,"2001-01-03 00:00","2002-01-02 00:00"
IN34,Annual,2002,98,100,100,2.596,0.399,0.173,0.632,3.371,12.048,5.341,1.061,14.057,-9,0.123,47190.2,75.252,42,363,"2002-01-02 00:00","2002-12-31 00:00"
IN34,Annual,2003,98,100,94,4.415,0.645,0.421,0.725,5.149,15.966,7.608,1.495,18.948,-9,0.133,51894.2,89.548,44,364,"2002-12-31 00:00","2003-12-30 00:00"
IN34,Annual,2004,98,100,100,3.323,0.607,0.212,0.799,3.612,12.886,5.717,1.531,17.384,-9,0.179,61968.4,96.311,45,364,"2003-12-30 00:00","2004-12-28 00:00"
IN34,Annual,2005,94,100,93,2.849,0.433,0.162,0.459,3.166,11.177,4.985,1.053,13.393,-9,0.125,36468.3,64.605,43,371,"2004-12-28 00:00","2006-01-03 00:00"
IN34,Annual,2006,92,100,98,5.356,0.728,0.370,0.777,5.603,16.536,8.089,1.506,25.113,-9,0.214,77295.2,123.406,43,365,"2006-01-03 00:00","2007-01-03 00:00"
IN34,Annual,2007,94,100,99,3.777,0.595,0.227,0.552,4.729,13.906,6.816,1.136,18.159,-9,0.153,68751.0,108.217,42,364,"2007-01-03 00:00","2008-01-02 00:00"
IN34,Annual,2008,92,100,97,3.984,0.628,0.205,1.023,4.216,12.607,6.124,1.883,20.411,-9,0.182,85162.6,136.437,45,363,"2008-01-02 00:00","2008-12-30 00:00"
